URL noticia,Palabra clave hallada,Periódico,Fecha de publicación,Título,Estado involucrado,Sección en el diario
http://www.sinembargo.mx/08-03-2016/1633780,protesta,SinEmbargo,08/03/2016,Policías estatales y simpatizantes de Alcalde chiapaneco se ...,Chiapas,
http://www.sinembargo.mx/12-03-2016/1635296,huelga,SinEmbargo,12/03/2016,Mineros levantan huelga en ArcelorMittal; la empresa liquidará a 81 ...,Michoacán,
http://www.sinembargo.mx/22-03-2016/1639219,protesta,SinEmbargo,22/03/2016,Activistas protestan en la delegación MH por sexoservidoras ...,Ciudad de México,
http://www.sinembargo.mx/28-03-2016/1641403,manifestacion,SinEmbargo,28/03/2016,Manifestantes exigen en Veracruz castigo para juniors que violaron ...,Veracruz,
http://www.sinembargo.mx/30-03-2016/1642255,marcha,SinEmbargo,30/03/2016,"“Ni una mujer menos”, exigen guanajuatenses en marcha por el ...",Guanajuato,
http://sipse.com/milenio/bloqueo-sisal-acuerdo-lotes-vivienda-terrenos-hunucma-195117.html,bloqueo,Sipse,08/03/2016,Termina bloqueo en Sisal; construirán casas para personas de Hunucmá,Yucatán,
http://sipse.com/mexico/protesta-taxistas-provoca-uber-regale-viajes-gratis-195072.html,protesta,Sipse,08/03/2016,Taxistas de Guadalajara protestan contra Uber,Jalisco,
http://sipse.com/milenio/nuevo-bloqueo-via-sisal-hunucma-195647.html,bloqueo,Sipse,12/03/2016,Se registra un nuevo bloqueo en la vía Sisal-Hunucmá,Yucatán,
http://sipse.com/mexico/campeche-protesta-incendio-lanchas-pescadores-campechanos-197076.html,protesta,Sipse,22/03/2016,Campeche: protesta por incendio de 4 lanchas de pescadores campechanos,Campeche,
http://www.vanguardia.com.mx/articulo/huelga-en-arcelormittal-no-tiene-aval-de-autoridad-asegura-avante,huelga,Vanguardia,05/03/2016,"Huelga en ArcelorMittal no tiene aval de autoridad, asegura Avante ...",Michoacán,
