¿Noticia reportada por ambos medios?,Sitio web,Fecha de publicación,Diario,Seccion,Subsección,Título,Concordancias halladas en el texto,Estados referidos,Versión
,http://www.jornada.unam.mx/ultimas/2017/04/24/reporteros-de-norte-exigen-a-corral-resultados-sobre-breach,24/04/2017,LaJornada,ultimas,estados,Exigen ex reporteros de 'Norte' resultados en caso Breach,protesta,Chihuahua/,digital
,http://www.jornada.unam.mx/2017/04/29/estados/023n1est,29/04/2017,LaJornada,estados,,"Derechohabientes en mora piden programa de rescate al Infonavit. En Chihuahua, más de 10 mil familias han sido desalojadas, asegura El Barzón. El instituto realiza los juicios fuera del estado y sin notificar a los propietarios, acusan En 2016 se subastaron 8 mil casas, de 200 mil que fueron abandonadas, dice Penchyna. ",protesta | demanda,Chihuahua/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/1/se-suben-al-ring-por-obras-en-tlalpan?fb_comment_id=1273924946055954_1274492545999194,01/04/2017,ElUniversal,metropoli,cdmx,Se suben al ring por obras en Tlalpan,manifestación,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/05/protestan-trabajadores-de-hospital-homeopatico-por-malos-resultados,05/04/2017,LaJornada,ultimas,sociedad y justicia,Protestan trabajadores de Hospital Homeopático por malos resultados,protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/07/capital/031n1cap,07/04/2017,LaJornada,capital,,"Colonos de Coyoacán protestan contra inmobiliarias y por la escasez de agua. Autoridades hacen caso omiso En 15 días podrán tener respuesta, dice empleada Observatorio Ciudadano las acusa de utilizar a policías para manipular válvulas. ",bloqueo | protesta | manifestación | mitin | marcha,Ciudad de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/7/llega-marcha-de-estudiantes-de-la-unam-conacyt,07/04/2017,ElUniversal,metropoli,cdmx,Llega marcha de estudiantes de la UNAM a Conacyt,marcha,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/08/sociedad/030n2soc,08/04/2017,LaJornada,sociedad,,Estudiantes de posgrado marchan contra recorte a sus becas del Conacyt. Reciben menos desde que se calculan en UMA y no en salarios. ,marcha | demanda | protesta,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/8/realizan-clausura-simbolica-en-benito-juarez,08/04/2017,ElUniversal,metropoli,cdmx,Realizan clausura simbólica en Benito Juárez,manifestación | marcha | protesta | movilización,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/8/protestan-contra-politicas-de-corral,08/04/2017,ElUniversal,nacion,politica,Protestan contra políticas de Corral,manifestación | toma de lugares | protesta | bloqueo,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/09/capital/027n2cap,09/04/2017,LaJornada,capital,,Con marcha y boicot vecinos repudian más megaedificios. ,boicot | marcha | manifestación,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/9/vecinos-rechazan-mas-obras-en-bj?fb_comment_id=1331750256893464_1343224102412746,09/04/2017,ElUniversal,metropoli,cdmx,Vecinos rechazan más obras en BJ,movilización | protesta,Ciudad de México/,digital
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/11/deja-11-heridos-choque-con-villistas-frente-la-pgj,11/04/2017,ElUniversal,metropoli,cdmx,"Deja 11 heridos ""choque"" con villistas frente a la PGJ",manifestación | marcha | bloqueo | protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/12/capital/028n1cap,12/04/2017,LaJornada,capital,,Panchosvillas enfrentan con tubos y piedras a policías frente a la PGJ. Exigían liberar a compañeros; hay nueve heridos y 25 detenidos. ,bloqueo | manifestación | protesta,Ciudad de México/,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/15/evangelicos-marchan-al-monumento-a-la-revolucion-1,15/04/2017,LaJornada,ultimas,política,Evangélicos marchan al Monumento a la Revolución,marcha,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/18/politica/010n2pol,18/04/2017,LaJornada,politica,,"Marchan para exigir un alto a los cobros excesivos de la CFE. No pagaré, si no es con el SME , fue la consigna. ",huelga | marcha | plantón | demanda | mitin | movilización,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/18/politica/009n1pol,18/04/2017,LaJornada,politica,,"Con burla buscan dar carpetazo al caso Mexicana. Darían mil 320 pesos a cada trabajador. Llevamos seis años nueve meses de lucha digna, afirma Fausto Guerrero Díaz. ",manifestación,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/18/isidro-pastor-en-huelga-de-hambre-por-revocacion-de-candidatura,18/04/2017,ElUniversal,metropoli,edomex,"Isidro Pastor, en huelga de hambre por revocación de candidatura",huelga de hambre,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/19/capital/029n3cap,19/04/2017,LaJornada,capital,,Vecinos del poniente demandan frenar obras en marcha. ,demanda,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/19/sociedad/031n3soc,19/04/2017,LaJornada,sociedad,,Campesinos exigen pagos a la Sagarpa. ,manifestación,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/19/capital/029n2cap,19/04/2017,LaJornada,capital,,Autoridades de Coyoacán ceden a presión vecinal. ,marcha | bloqueo | mitin,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/20/sociedad/039n3soc,20/04/2017,LaJornada,sociedad,,Protestan frente a la embajada rusa. ,manifestación | protesta,Ciudad de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/20/operativo-frena-protesta-en-casa-de-delegado-de-coyoacan,20/04/2017,ElUniversal,metropoli,cdmx,Operativo frena protesta en casa de delegado de Coyoacán,manifestación | marcha | protesta,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/20/delegado-de-coyoacan-acusa-batres-de-organizar-protesta-en-su,20/04/2017,ElUniversal,metropoli,cdmx,Delegado de Coyoacán acusa a Batres de organizar protesta en su contra,manifestación | protesta | movilización,Ciudad de México/,digital
