id,URL noticia,C1x1FechaPeriodico,Eps_relacionados,sección,Día,versión,serie,concordancia_semantica_en_búsqueda,titulo,estados_referidos,autores,imagen_principal,info_publicacion,Referencias Ayotzinapa,Referencias Reforma educativa,Referencias Peña Nieto,Referencias Campesinos,Referencias CNTE,Referencias relevantes Ayotzinapa,Referencias relevantes Reforma educativa
N_378,http://www.jornada.unam.mx/2016/06/09/politica/012n1pol,09/06/2016,1,politica,Jueves,Web,,manifestación | bloqueo | paro de labores | movilización | marcha | caravana,"Entre muestras de apoyo, maestros de la CNTE marchan al Senado; exigen diálogo. ",Chiapas | Ciudad de México | Guerrero | Hidalgo | Estado de México | Michoacán | Morelos | Oaxaca | Puebla | Tlaxcala | ,"Laura Poy, César Arellano y René Ramón. ",,"Jueves 9 de junio de 2016, p. 12. ",0,0,1,0,1,0,0
N_379,http://www.jornada.unam.mx/2016/06/13/sociedad/036n2soc,13/06/2016,1,sociedad,Lunes,Web,,marcha,Protesta en Chilpancingo. ,Guerrero | ,Sergio Ocampo Arista. ,,"Lunes 13 de junio de 2016, p. 36. ",0,0,1,0,0,0,0
N_380,http://www.jornada.unam.mx/2016/06/14/politica/009n1pol,14/06/2016,1,politica,Martes,Web,,manifestación | toma_de_edificios/casetas | bloqueo | protesta | mitin | en_demanda,Protestan maestros en cinco estados. ,Chiapas | Ciudad de México | Guerrero | Michoacán | Oaxaca | Sinaloa | Tabasco | Veracruz | ,De los corresponsales. ,,"Martes 14 de junio de 2016, p. 9. ",0,1,0,0,1,0,1
N_381,http://www.jornada.unam.mx/2016/06/15/politica/008n2pol,15/06/2016,1,politica,Miércoles,Web,,campamento | manifestación | bloqueo | protesta | movilización | marcha | mitin | en_demanda,Advierte la CNTE que encarcelar a dirigentes no detendrá su lucha. ,Chiapas | Ciudad de México | Guerrero | Michoacán | Oaxaca | ,Patricia Muñoz y Laura Poy. ,,"Miércoles 15 de junio de 2016, p. 8. ",1,1,0,0,1,1,0
N_382,http://www.jornada.unam.mx/2016/06/15/politica/011n1pol,15/06/2016,1,politica,Miércoles,Web,,marcha | plantón | manifestación | bloqueo,"Barricadas, marchas y bloqueos, a 10 años del fallido desalojo de maestros en Oaxaca. ",Oaxaca | ,Jorge A. Pérez y Diana Manzo. ,,"Miércoles 15 de junio de 2016, p. 11. ",0,1,0,0,1,0,1
N_383,http://www.jornada.unam.mx/2016/06/15/politica/011n3pol,15/06/2016,3,politica,Miércoles,Web,,plantón | bloqueo | manifestación | marcha,Protestas en varias entidades para exigir la liberación de líderes de la 22. ,Chiapas | Chihuahua | Guerrero | Oaxaca | Tabasco | ,De los corresponsales. ,,"Miércoles 15 de junio de 2016, p. 11. ",0,1,0,0,1,0,0
N_384,http://www.jornada.unam.mx/2016/06/16/politica/009n3pol,16/06/2016,1,politica,Jueves,Web,,plantón | manifestación | bloqueo | lanzamiento_proyectiles | marcha | mitin,"Acciones en Guerrero, Michoacán y Tabasco. ",Guerrero | Michoacán | Tabasco | ,De los corresponsales. ,,"Jueves 16 de junio de 2016, p. 9. ",0,1,0,0,1,0,1
N_385,http://www.jornada.unam.mx/2016/06/17/politica/011n1pol,17/06/2016,1,politica,Viernes,Web,,plantón | bloqueo | manifestación | marcha | caravana,Policía capitalina encapsula por 7 horas a cientos de maestros disidentes de Chiapas. ,Chiapas | ,Laura Poy Solano. ,,"Viernes 17 de junio de 2016, p. 11. ",0,0,0,0,1,0,0
N_386,http://www.jornada.unam.mx/2016/06/18/politica/004n4pol,18/06/2016,1,politica,Sábado,Web,,manifestación | bloqueo | protesta | lanzamiento_proyectiles | paro de labores | marcha,Protestan frente a tres centros comerciales en Tuxtla Gutiérez. ,Baja California | Chiapas | Ciudad de México | Guerrero | Michoacán | Oaxaca | Yucatán | ,De los corresponsales. ,,"Sábado 18 de junio de 2016, p. 4. ",0,1,0,0,1,0,1
N_387,http://www.jornada.unam.mx/2016/06/19/politica/003n3pol,19/06/2016,1,politica,Domingo,Web,Insurgencia Magisterial. ,plantón | paro de labores | protesta,Ofrece la Iglesia en Chiapas mediar en el conflicto. ,Chiapas | ,Elio Henríquez. ,,"Domingo 19 de junio de 2016, p. 3. ",0,1,0,0,0,0,0
