exactitud,EPs,lat,lon,Estado,Municipio,Lugar,Bloqueo,Plantón,Marcha,Mitin,Paro de labores,#Repertorios,Repertorio_de_referencia,Repertorio_de_referencia_,Repertorio_de_referencia2
sí,1,20.5919212,-100.3973391,Querétaro,Querétaro,Jardín Guerrero,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,20.5931198,-100.3929453,Querétaro,Querétaro,andador 5 de Mayo,0,0,0,0,0,2,Otro,Otro,Acciones dramáticas
sí,1,20.6762296,-103.3491433,Jalisco,Guadalajara,plaza de armas,0,0,0,1,0,1,Mitin,Mitin,Mitin
sí,1,20.9670355,-89.6237866,Yucatán,Mérida,Plaza Principal de Mérida,0,0,1,1,0,2,Marcha,Marcha,Marcha
sí,1,20.9786997,-89.6447507,Yucatán,Mérida,Sede del Poder Judicial,0,0,0,1,0,1,Mitin,Mitin,Mitin
sí,1,20.9970344,-101.2810982,Guanajuato,Guanajuato,Congreso,0,0,0,0,0,1,Otro,Pacífico no especificado,Pacífico no especificado
sí,1,21.0201305,-101.6431772,Guanajuato,León,"Puente a Santa Ana, Carretera 46",1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,21.122883,-101.6853166,Guanajuato,León,Plaza Fundadores,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,21.1394583,-98.4207221,Hidalgo,Huejutla de Reyes,Cabecera municipal,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,21.286577,-100.7325831,Guanajuato,San Luis de la Paz,Carretera 57,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,21.5014486,-104.8896089,Nayarit,Tepic,Ingenios Menchaca y Puga,0,0,0,0,1,2,Paro de labores,Paro de labores,Paro de labores
sí,1,21.5072543,-104.8931072,Nayarit,Tepic,Plaza Bicentenario,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,21.8468978,-102.7208376,Aguascalientes,Calvillo,Palacio Municipal,0,1,0,0,0,1,Plantón,Plantón,Plantón
sí,2,22.1476046,-100.9791577,San Luis Potosí,San Luis Potosí,Congreso,1,0,0,0,0,1,Varios,Varios,Varios
sí,1,22.1503757,-101.0163215,San Luis Potosí,San Luis Potosí,Comisión Nacional para el Desarrollo de los Pueblos Indígenas (CDI),0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,22.7710219,-102.6094657,Zacatecas,Zacatecas,INE,0,0,0,1,0,3,Mitin,Mitin,Mitin
sí,1,22.7714771,-102.5823978,Zacatecas,Zacatecas,Centro histórico,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,22.7744072,-102.5770845,Zacatecas,Zacatecas,Congreso zacatecano,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,22.7760702,-102.5740353,Zacatecas,Zacatecas,Plaza de Armas,0,0,1,1,0,2,Marcha,Marcha,Marcha
sí,1,22.8992623,-102.6590278,Zacatecas,Zacatecas,Secretaría del Campo (SECAMPO),1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,23.0551934,-109.6957592,Baja California Sur,Los Cabos,"plaza Antonio Mijares, de San José del Cabo",1,1,0,0,1,4,Bloqueo,Bloqueo,Bloqueo
sí,1,24.0604524,-104.6115646,Durango,Durango,SAGARPA,0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,24.1486768,-110.3086667,Baja California Sur,La Paz,Palacio de Gobierno,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,2,24.6359163,-101.6985046,Zacatecas,Mazapil,Mina Camino Rojo,0,1,0,0,0,1,Varios,Varios,Varios
sí,1,24.775579,-107.4626175,Sinaloa,Culiacán,SAGARPA,0,1,0,0,0,2,Plantón,Plantón,Plantón
sí,1,25.432741,-100.9967152,Coahuila,Saltillo,Congreso,1,0,1,0,0,2,Bloqueo,Bloqueo,Bloqueo
